M0_bin,N,R_Lag16,R_Lag50,R_Lag84,R_opt_cMpc,rho_at_Ropt
<12.5,129,2.0296371168405285,2.4064126589737618,2.600673327660617,2.0,0.2677646667398089
12.5-13.5,1017,3.3502436807596623,4.323302910813916,5.322991465925413,5.0,0.5889206235983819
13.5-14.0,821,6.273319280657205,7.172200474637302,8.054433753511926,8.0,0.503261506957983
14.0-14.5,752,8.91814181936708,10.057448546731257,11.381813365266217,15.0,0.5249528404151995
>14.5,380,13.14413307370378,14.191900232877922,18.44046014197347,20.0,0.6506449528048532
