GroupID_z8,SubhaloID_z8,M200c_z8,logM200c_z8,SubhaloID_z0,GroupID_z0,M200c_z0,logM200c_z0,TrackingStatus
1545,8152,78444724000.0,10.894563674926758,535916,542,64965050368000.0,13.812679779498154,success
1546,8157,121503100000.0,11.084588050842285,1010019,2809,16447781732352.0,13.216107334118194,success
1547,8158,64602448000.0,10.810249328613281,601783,705,49795741777920.0,13.697192206184997,success
1548,8163,82185350000.0,10.914794921875,649945,847,39639377248256.0,13.598126822912873,success
1549,8168,105763650000.0,11.024336814880371,952129,2343,20930908651520.0,13.32078808231744,success
1550,8172,105941400000.0,11.025066375732422,317373,184,107746024226816.0,14.032401253884174,success
1551,8175,69765915000.0,10.843643188476562,1032154,3007,16226940092416.0,13.21023663281045,success
1553,8188,92161360000.0,10.96454906463623,1283790,6546,5253615321088.0,12.720458269811873,success
1554,8190,95060976000.0,10.978002548217773,47317,8,398251614273536.0,14.600157544846473,success
1555,8192,101858860000.0,11.007999420166016,1421628,10016,4835350413312.0,12.684427952473497,success
1556,8195,108721620000.0,11.03631591796875,134,0,1535789976518656.0,15.186331828797393,success
1557,8197,94969450000.0,10.977583885192871,1249136,5882,8081769496576.0,12.907506459594297,success
1558,8200,90604730000.0,10.957151412963867,251630,120,203439883681792.0,14.308436098856749,success
1559,8204,74617230000.0,10.872838973999023,869195,1794,23621932154880.0,13.373315417828028,success
1560,8208,99006990000.0,10.995665550231934,37521,6,459285179924480.0,14.662082431960792,success
1562,8215,100099350000.0,11.000431060791016,909879,2047,20460978831360.0,13.310926406056982,success
1564,8223,75223070000.0,10.876351356506348,140473,45,305942902079488.0,14.485640381953425,success
1565,8227,108541870000.0,11.035597801208496,416971,316,45303621222400.0,13.656132917554787,success
1567,8233,84027630000.0,10.924422264099121,465495,398,58272455327744.0,13.765463317606624,success
1568,8239,93000940000.0,10.968487739562988,505083,477,69018333478912.0,13.838964468579775,success
1569,8243,107538430000.0,11.031563758850098,868594,1791,16921507397632.0,13.228439048142357,success
1571,8253,125359780000.0,11.098158836364746,1667518,21135,2652942893056.0,12.423727901509812,success
1572,8254,111250350000.0,11.04630184173584,1233237,5606,7873362919424.0,12.896160270528847,success
1573,8256,75574370000.0,10.878375053405762,254682,123,71453248585728.0,13.85402197855433,success
1575,8265,95271895000.0,10.978964805603027,47745,8,398251614273536.0,14.600157544846473,success
1579,8288,66283667000.0,10.821406364440918,11770,1,1307340129173504.0,15.116388592175756,success
1581,8297,70183680000.0,10.846236228942871,935770,2225,19869063970816.0,13.29817740803157,success
1582,8303,123255670000.0,11.09080696105957,142408,46,176415714574336.0,14.246537268148105,success
1583,8304,91095245000.0,10.959495544433594,566964,615,53642568663040.0,13.729509565776777,success
1584,8308,75013420000.0,10.875139236450195,159038,55,242969403719680.0,14.385551587868612,success
1585,8313,89589340000.0,10.952256202697754,761949,1257,35927489511424.0,13.555426871270125,success
1586,8316,98801520000.0,10.994763374328613,884026,1884,22378010640384.0,13.349821476012478,success
1587,8319,126523530000.0,11.102171897888184,1067079,3349,14986502995968.0,13.175700304847386,success
