GroupID_z8,SubhaloID_z8,GroupID_z0,SubhaloID_z0,logM200c_z8,logM200c_z0,M0_bin,ParticleMembership,N_DM_total,N_DM_sampled,N_DM_matched,DM_match_fraction,R_Lag_analytic_cMpc,R50_cMpc,R68_cMpc,R80_cMpc,R90_cMpc,Rrms_cMpc,b_over_a,c_over_a,Triaxiality,R_environment_opt_cMpc,fprog_at_Ropt,Nhalo_R10,Ngal_R10,fprog_R2,fprog_R3,fprog_R5,fprog_R8,fprog_R10,fprog_R15,fprog_R20
5891,22473,8961,1385849,10.841384887695312,12.548933007804836,12.5-13.5,R200c,57136,10000,10000,1.0,2.7797469768287053,1.7789570478974044,2.087182175344164,2.3214472730183626,2.7257910367232534,2.119678667354082,0.7767388350008144,0.6951650339607333,0.7676442740181109,5.0,0.9807,124,2,0.4993,0.8678,0.9807,0.998,0.9996,1.0,1.0
5392,21027,9529,1405515,10.84492015838623,12.624198541216078,12.5-13.5,R200c,66945,10000,10000,1.0,2.945057494845712,2.1077685505794554,2.46965427672717,2.745916964247298,3.062193777636584,2.271294634868758,0.7813136375104961,0.6632825035601818,0.6955532606302076,5.0,0.9825,117,1,0.4418,0.7263,0.9825,1.0,1.0,1.0,1.0
4974,19746,9728,1412398,10.865236282348633,12.67365248072604,12.5-13.5,R200c,76822,10000,10000,1.0,3.058992584729457,1.9714856880783327,2.3790338933481068,2.6485227617912055,2.9556159144073217,2.1085282445857145,0.9131094405814886,0.8342587457850827,0.5467907873169289,5.0,1.0,82,0,0.5125,0.8835,1.0,1.0,1.0,1.0,1.0
1230,6869,3712,1100000,10.832025527954102,12.902604438098102,12.5-13.5,R200c,128616,10000,10000,1.0,3.646663946652317,2.6085013523371687,3.16360999207829,3.6489173296222575,4.715201610757665,3.50001633827023,0.8268620165992715,0.4772399202374012,0.4095855723097237,5.0,0.8786,173,1,0.344,0.6312,0.8786,0.9549,0.9757,1.0,1.0
4479,18191,5773,1242874,10.885652542114258,12.9194121643775,12.5-13.5,R200c,134745,10000,10000,1.0,3.6940121433695636,2.5557941441834884,3.085045778213407,3.473743100702414,3.945933058427365,2.858521843193451,0.7708162562602999,0.5022377996332749,0.542746098721054,5.0,0.9351,159,0,0.2266,0.4774,0.9351,0.9977,0.9987,1.0,1.0
1464,7812,5435,1223121,11.105164527893066,12.923742311024254,12.5-13.5,R200c,134409,10000,10000,1.0,3.7063096551808683,2.4362390225828143,2.862245676145859,3.2189811533233508,3.5759222401937034,2.648614823792775,0.8126632595182689,0.6655611403324331,0.6096250134551385,5.0,0.906,136,4,0.2224,0.4581,0.906,0.9991,1.0,1.0,1.0
3579,15311,3101,1042147,10.854159355163574,12.992557801621796,12.5-13.5,R200c,157552,10000,10000,1.0,3.907330953846884,2.919329036651736,3.4811360340899102,4.040714595911713,5.054102783118903,3.5677707995923025,0.6539939664020975,0.5186141859717424,0.7828469296663063,5.0,0.8109,124,0,0.2301,0.462,0.8109,0.9262,0.9902,1.0,1.0
4218,17384,2679,994653,10.911237716674805,13.03349009338421,12.5-13.5,R200c,167957,10000,10000,1.0,4.0320350163865655,3.070437148254459,3.632200285930845,4.099157870006817,4.680464262626866,3.3847809616936395,0.7640926429326157,0.5303819781246555,0.5790529470123734,5.0,0.7332,156,0,0.1533,0.2943,0.7332,0.9852,0.999,1.0,1.0
485,3364,2275,942672,11.093170166015623,13.036905785014008,12.5-13.5,R200c,173811,10000,10000,1.0,4.042619429711925,2.6376373179974264,3.1507813225977643,3.538220263374182,3.954591903169836,2.9064397554346937,0.7545665038483064,0.6226532459429255,0.703294670712926,5.0,0.9617,161,1,0.2857,0.5679,0.9617,0.9975,0.9997,1.0,1.0
1380,7501,2582,982836,10.957091331481934,13.078046380544713,12.5-13.5,R200c,188848,10000,10000,1.0,4.172308290555805,2.8131581417576212,3.378743211011517,3.8971657221506537,4.549617678282624,3.2554951366904423,0.7199914373837236,0.6219801325955495,0.7854841777453879,5.0,0.9169,217,8,0.2543,0.556,0.9169,0.992,0.9995,1.0,1.0
1088,6233,3753,1103562,10.91702651977539,13.088662967395056,12.5-13.5,R200c,196578,10000,10000,1.0,4.206445370906519,2.690523226086322,3.189875849559823,3.5531814191038675,3.945518353763331,2.9218826529025086,0.873178299520388,0.7189617203047431,0.4917461927651919,5.0,0.8461,297,6,0.2191,0.4169,0.8461,0.9985,0.9999,1.0,1.0
2134,10369,3734,1101924,10.998244285583496,13.116269374590354,12.5-13.5,R200c,205760,10000,10000,1.0,4.296525452045469,3.0171158720810243,3.55073851550712,4.004397101420759,4.569737022394617,3.2654097304984395,0.7936416651648104,0.6789904448400833,0.686738687580445,5.0,0.8771,163,5,0.2132,0.4882,0.8771,0.9987,0.9998,1.0,1.0
4527,18339,3271,1059479,10.822057723999023,13.162238571537786,12.5-13.5,R200c,225584,10000,10000,1.0,4.450824341033315,3.327789781477179,3.835198586623242,4.276089865262138,4.806433676284087,3.4795727997892216,0.8237173436075986,0.6610255690787342,0.57098389177141,5.0,0.7513,131,2,0.1653,0.341,0.7513,0.9975,1.0,1.0,1.0
2438,11374,1642,841972,10.974478721618652,13.170374844255884,12.5-13.5,R200c,226571,10000,10000,1.0,4.478705905366746,2.9186329509435947,3.430406077755122,3.837411427795731,4.4605993354826,3.1687581297658585,0.9432584529181486,0.7625029373366473,0.2634169071099108,5.0,0.8518,137,0,0.1555,0.4058,0.8518,1.0,1.0,1.0,1.0
6746,25035,2189,930636,10.819771766662598,13.27926602032587,12.5-13.5,R200c,296093,10000,10000,1.0,4.869110203018687,3.6007993996298695,4.149314704800302,4.581755603928364,5.035462712411354,3.9301842264805766,0.7888578548094018,0.693800513487426,0.7282559534933959,5.0,0.5227,141,1,0.0796,0.2032,0.5227,0.8693,0.9854,0.9941,0.9978
4067,16898,1804,870895,10.875372886657717,13.380106572829195,12.5-13.5,R200c,365466,10000,10000,1.0,5.260937247803206,3.429123260860738,4.047696886228237,4.597442636648839,5.155445611966691,3.6567521131037277,0.8756135770554084,0.8120563615075718,0.6850417091303673,5.0,0.8561,112,2,0.1353,0.3525,0.8561,1.0,1.0,1.0,1.0
1738,8874,1695,851580,10.925724029541016,13.385001590721846,12.5-13.5,R200c,375834,10000,10000,1.0,5.280740108430726,3.8903357351232515,4.575279307990147,5.047187089006167,5.593017308550969,4.129417652198579,0.6997184635907779,0.6711287933509842,0.9286880290866971,5.0,0.529,96,5,0.1146,0.2123,0.529,0.9821,1.0,1.0,1.0
