M0_bin,N,MedianLogM0,Ropt,R_Lag_analytic_cMpc,R50_cMpc,R80_cMpc,R90_cMpc,Rrms_cMpc
12.5-13.5,20,13.083354673969884,5.0,4.189376830731162,2.9189809937976654,3.950781411785706,4.625100642510741,3.3250953460960395
13.5-14.0,20,13.820958135535376,8.0,7.379397973366734,5.464486486391442,7.002485842076299,7.89859601100232,5.81154687502901
14.0-14.5,20,14.153897344157983,15.0,9.528778983153915,6.8975182906824655,9.162593062254476,10.384645138390487,7.4137155536683395
>14.5,20,14.68483563303715,20.0,14.321569342861075,10.476395129412367,13.339801061886364,14.869999602462844,10.837209573287254
