Radius,Ratio16,MedianRatio,Ratio84,Spearman_rho,p_value
R50_cMpc,0.6722546115391752,0.7319855590183333,0.7579102261012941,0.9761904761904763,3.3143960262001043e-05
R68_cMpc,0.8054464413043544,0.8461921733169346,0.8886857984243788,0.9761904761904763,3.3143960262001043e-05
R80_cMpc,0.9008897681479511,0.9328894790430955,1.001253354843896,0.9523809523809524,0.00026040002438725105
R90_cMpc,1.0071518314682633,1.0498961340500905,1.1281366374781054,0.9523809523809524,0.00026040002438725105
Rrms_cMpc,0.7188617298698179,0.7687617742542866,0.808453060352069,0.9761904761904763,3.3143960262001043e-05
